relation_id,relation_kind,computed_value,expected_value,defect_rank,source_reference,check_status,notes
semistable_substacks_imported,input,1,1,0,retained derived-enhancement packet,verified,finite-type semistable substacks are imported from item 167
ptvv_shifted_symplectic_imported,input,1,1,0,retained derived-enhancement packet,verified,PTVV CY3 shifted symplectic theorem is imported
one_enhancement_per_substack,row_count,3,3,0,retained derived-enhancement packet,verified,one derived enhancement is supplied for each retained semistable substack
cotangent_amplitude_minus_one_zero,row_count,3,3,0,retained derived-enhancement packet,verified,all cotangent amplitudes are [-1 0]
quasi_smooth_rows_verified,row_count,3,3,0,retained derived-enhancement packet,verified,all derived enhancement rows are quasi-smooth
tor_amplitude_defects_zero,defect_sum,0,0,0,retained derived-enhancement packet,verified,Tor amplitude defect ranks vanish
symplectic_defects_zero,defect_sum,0,0,0,retained derived-enhancement packet,verified,symplectic defect ranks vanish
derived_enhancements_mirrored,row_count,3,3,0,retained derived-enhancement packet,verified,derived rows are mirrored into the finite-moduli scaffold
universal_complexes_not_proved,firewall,1,1,0,retained derived-enhancement packet,verified,universal complexes remain later rows
rigidification_not_proved,firewall,1,1,0,retained derived-enhancement packet,verified,rigidification remains a later row
finite_hall_stage_not_proved,firewall,1,1,0,retained derived-enhancement packet,verified,full finite Hall stage remains open
