obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,hall_coproduct_status,proof_reference,check_status,notes
transition_geometry_input,moduli_transition,proper or closed transition input,splitting_correspondence_transitions.csv,transition_geometry_input,imports finite-moduli transition geometry for object and two-output splitting stacks,Hall coproduct preservation requires transition maps of the splitting correspondence,missing_open_obligation,certificates/moduli/finite_moduli_transition_geometry/README.md:1,verified,no transition geometry input row supplied
orientation_transition_input,orientation_transition,orientation transition input,coefficient_transport.csv,orientation_transport_id,imports Picard-groupoid orientation transport row,the Hall coproduct coefficient system contains the orientation line,missing_open_obligation,certificates/orientation/transition_orientation_preservation/README.md:1,verified,no orientation transition input row supplied
vanishing_cycle_transition_input,vanishing_cycle_transition,vanishing-cycle transition input,coefficient_transport.csv,vanishing_cycle_transport_id,imports reduced vanishing-cycle transition row,the Hall coproduct coefficient system contains reduced vanishing cycles,missing_open_obligation,certificates/vanishing_cycles/transition_vanishing_cycle_preservation/README.md:1,verified,no vanishing-cycle transition input row supplied
source_coproduct_matrix,hall_coproduct,source Hall coproduct matrix,D_entries.csv,coproduct_matrix,finite source coproduct constants in homogeneous compact bases,there is no transition preservation theorem before the coproduct itself exists,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:7,verified,no source coproduct matrix row supplied
source_counit_map,hall_coproduct,source Hall counit map,unit_counit.csv,counit,finite counit entries for the compact Hall coalgebra,a coalgebra transition datum must preserve the augmentation on the zero object,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:9,verified,no source counit row supplied
splitting_correspondence_square,correspondence,splitting correspondence transition square,splitting_correspondence_transitions.csv,splitting_square,extension stack transition commutes with source object and two-output stack transitions,the two pull-push definitions of coproduct must live on a common transition square,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no splitting correspondence transition square supplied
source_object_stack_square,correspondence,source object stack square,splitting_correspondence_transitions.csv,source_square,object-stack transition commutes with the projection q used for coproduct pullback,the pullback q star must commute with transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no source object square supplied
target_product_stack_square,correspondence,target product stack square,splitting_correspondence_transitions.csv,target_product_square,product of output object-stack transitions commutes with the projection p,the exceptional pushforward p shriek must commute with transition,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no target product square supplied
coefficient_system_transport,coefficient,coefficient-system transport,coefficient_transport.csv,coefficient_transport,orientation and reduced vanishing cycles transported on the splitting graph,the coproduct acts on Phi red tensor o and needs both transports together,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no coefficient-system transport row supplied
ts_coproduct_transport,coefficient,inverse Thom-Sebastiani coproduct transport,coefficient_transport.csv,ts_coproduct_transport,inverse TS red isomorphism commutes with R to R prime transition,Hall comultiplication uses inverse TS between source and two-output coefficient systems,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no inverse TS coproduct transport row supplied
proper_base_change,six_functor,proper base-change row,base_change_projection.csv,proper_base_change,proper base-change square with defect rank zero,the equality of transitioned pull-push functors requires proper base change,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no proper base-change row supplied
projection_formula,six_functor,projection formula row,base_change_projection.csv,projection_formula,projection formula id and defect rank zero,the coproduct transport must move coefficients through p shriek without changing the pull-push functor,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no projection formula row supplied
compact_support_pushforward,six_functor,compact-support pushforward compatibility,base_change_projection.csv,compact_support_pushforward,compact-support pushforward commutes with transition with defect rank zero,Hall coproduct uses p shriek on compact support,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no compact-support pushforward row supplied
coproduct_matrix_intertwining,matrix,coproduct matrix transition intertwining,coproduct_matrix_transport.csv,intertwining_defect_zero,two-output transition matrix times source D equals target D times input transition matrix,preservation of Hall coproducts is the finite matrix identity after geometric pull-push rows are supplied,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no coproduct matrix intertwining row supplied
coassociativity_transition_compatibility,defect,coassociativity under transition,transition_defects.csv,coassociativity_transition_defect_zero,two-step flag coassociativity square commutes with transition,transition coproduct preservation must be compatible with the coassociative Hall coproduct,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no coassociativity transition row supplied
counit_transition_compatibility,defect,counit under transition,transition_defects.csv,counit_transition_defect_zero,zero-object counit square commutes with transition,coproduct transition data must preserve the counital coalgebra augmentation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,no counit transition row supplied
hall_coproduct_mittag_leffler,defect,Hall coproduct Mittag-Leffler row,transition_defects.csv,hall_coproduct_ml,r1lim_rank equals zero for Hall coproduct maps,inverse-limit Hall coproduct requires strict ML exactness,missing_open_obligation,certificates/d0/k3e_d0_hn/blocked_obligations.csv:35,verified,no Hall coproduct ML row supplied
no_scalar_hall_coproduct_substitution,firewall,scalar-or-target firewall,scalar_firewall.csv,scalar_hall_coproduct_substitution_excluded,excludes scalar trace denominator product signed multiplicities target coalgebra Pfaffian coproduct bar coalgebra Hall product and coefficient transport alone,prevents scalar shadows or formal coalgebras from being read as Hall coproduct preservation,missing_open_obligation,chapters/05_subsections/05_3_hall.tex:transition-hall-coproduct-preservation,verified,firewall rows supplied but Hall coproduct transport absent
