obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_pairing_matrix,hopf_pairing,source_CY3_Hopf_pairing_matrix,G_entries.csv,G_entry,finite_positive_negative_CY3_pairing_constants,nondegeneracy_is_a_rank_statement_about_a_source_matrix,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_G_entries_supplied
left_kernel_rows,kernel,left_kernel_rows,nondegeneracy_rows.csv,left_kernel,kernel_of_G_on_positive_source_space,modulo_radical_requires_identifying_the_left_kernel,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_left_kernel_rows_supplied
right_kernel_rows,kernel,right_kernel_rows,nondegeneracy_rows.csv,right_kernel,kernel_of_transposed_G_on_negative_source_space,nondegeneracy_requires_both_left_and_right_kernel checks,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_right_kernel_rows_supplied
radical_identification,radical,radical_identification_rows,K_entries.csv,kernel_matrix,left_right_kernels_equal_recorded_Hopf_radical,quotienting_by_the_wrong_subspace_does_not_prove_non_degeneracy_modulo_radical,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_radical_identification_rows_supplied
quotient_splitting,quotient,quotient_splitting_matrices,Q_entries.csv,quotient_splitting,finite_splittings_for_positive_and_negative_radical_quotients,full_rank_is_checked_on_quotient_bases,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_Q_entries_supplied
quotient_pairing_matrix,quotient,quotient_pairing_matrix,nondegeneracy_rows.csv,quotient_pairing,Q_gamma_G_gamma_Q_minus_gamma_transpose,the_rank_test_applies_to_the_descended_matrix,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_quotient_pairing_matrix_row_supplied
quotient_full_rank_row,rank,quotient_full_rank_row,nondegeneracy_rows.csv,full_rank,zero_left_and_right_rank_defects_for_quotient_pairing,this_is_the_non_degeneracy_computation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_full_rank_row_supplied
quotient_nondegeneracy_identity,hopf_pairing,quotient_nondegeneracy_identity,hopf_pairing_identities.csv,quotient_nondegenerate,zero_defect_nondegeneracy_after_radical_quotient,recognition_requires_an_identity_row_not_only_formal_pairing_degree,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_quotient_nondegeneracy_identity_supplied
radical_ideal_coideal,radical,radical_ideal_coideal_rows,radical_ideal_coideal.csv,lie_ideal_and_coproduct_coideal,radical_stability_for_Hall_product_coproduct_and_bracket,the_reduced_pairing_lives_on_a_Hall_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_radical_ideal_coideal_rows_supplied
serre_sign_line,orientation,CY3_Serre_sign_line,certificates/orientation/rhomred_orientation_cy3_serre_signs/serre_sign_rows.csv,serre_sign_line,orientation_target_line_and_CY3_signs_for_pairing,row338_uses_the_sign_line_but_requires_rank_data_separately,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,row337_has_no_Serre_sign_rows
transition_radical_rows,transition,radical_transition_rows,certificates/hall/transition_radical_preservation/pairing_transition.csv,pairing_transition,finite_stage_transitions_preserve_pairing_radicals,pro_object_non_degeneracy_requires_stage_independent_radicals,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_pairing_transition_rows_supplied
quotient_transition_rows,transition,quotient_transition_rows,certificates/hall/transition_radical_preservation/quotient_transition_matrices.csv,quotient_transition,descended_transition_matrices_on_radical_quotients,rank_rows_must_be_compatible_under_quotient_transition,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_quotient_transition_rows_supplied
pairing_kernel_ml_rows,ml_exactness,pairing_kernel_ML_rows,certificates/hall/pairing_kernel_lim1_vanishing/pairing_kernel_ml_r1lim_defects.csv,ml_status,strict_ML_and_R1lim_zero_for_pairing_kernel_towers,inverse_limit_non_degeneracy_needs_kernel_exactness,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,no_pairing_kernel_ML_rows_supplied
formal_pairing_not_nondegeneracy,formal_pairing,formal_degree_zero_pairing_rows,certificates/charge/hall_pairing_pushforward_compatibility/pairing_rows.csv,pairing_row,three_supplied_degree_zero_formal_pairings,degree_zero_is_not_full_rank_on_the_source_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,formal_pairing_rows_imported_only_as_firewall
target_pairing_not_source,target,target_pairing_blocks,certificates/targets/delta5_gn_kac/a071_target_presentation/target_pairing_blocks.csv,target_pairing_block,target_positive_negative_pairing_blocks,source_non_degeneracy_cannot_be_inferred_from_target_blocks,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,target_pairing_blocks_not_imported_as_proof
row339_orientation_limit,orientation,row_339_orientation_classes_survive_inverse_limit,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_339,prove_orientation_classes_survive_inverse_limit,row338_does_not_prove_orientation_class_survival_in_the_limit,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-pairing-nondegeneracy,verified,row339_kept_separate
