obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
reduced_serre_duality_isomorphism,serre_duality,reduced_Serre_duality_isomorphism,serre_sign_rows.csv,serre_duality_row,Kred_gamma_to_Kred_minus_gamma_dual_shift_minus_3,Serre_signs_cannot_be_checked_without_the_source_duality_isomorphism,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_reduced_Serre_duality_row_supplied
source_sign_exponent_table,signs,source_sign_exponent_table,serre_sign_rows.csv,sign_exponent,sigma_CY3_gamma_computed_from_degree_parity_and_shift,orientation_signs_need_a_source_Koszul_exponent_not_a_name,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_source_sign_exponent_row_supplied
source_degree_convention,grading,source_degree_convention,serre_sign_rows.csv,degree_convention,cohomological_degree_parity_and_determinant_ordering_convention,sign_exponent_depends_on_the_source_grading_convention,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_source_degree_convention_row_supplied
source_parity_blocks,parity,source_parity_blocks,certificates/sources/k3e_compact_hall/parity_blocks.csv,parity_block,positive_negative_even_odd_rank_and_parity_rows,determinant_signs_are_parity_sensitive,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_source_parity_blocks_supplied
orientation_sign_line,orientation_line,CY3_Serre_sign_line,serre_sign_rows.csv,orientation_sign_line,epsilon_CY3_gamma_in_orientation_Picard_groupoid,signs_must_live_in_the_orientation_Picard_groupoid,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_orientation_sign_line_row_supplied
determinant_duality_square,determinant,determinant_duality_square,serre_sign_rows.csv,determinant_square,det_Kminus_equals_det_Kplus_dual_tensor_epsilon_CY3_zero_defect,Serre_sign_is_the_determinant_duality_square_not_only_a_pairing_degree,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_determinant_duality_square_supplied
thom_sebastiani_sign_comparison,orientation,Thom_Sebastiani_sign_comparison,serre_sign_rows.csv,thom_sebastiani_sign,extension_orientation_sign_equals_epsilon_CY3,orientation_gluing_uses_Thom_Sebastiani_signs,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_TS_sign_comparison_row_supplied
chevalley_sign_comparison,orientation,Chevalley_sign_comparison,serre_sign_rows.csv,chevalley_sign,antiinvolution_adjoint_sign_equals_epsilon_CY3,Chevalley_adjunction_uses_the_same_Serre_sign_line,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_Chevalley_sign_comparison_row_supplied
frobenius_cyclic_sign_comparison,orientation,Frobenius_cyclic_sign_comparison,serre_sign_rows.csv,frobenius_cyclic_sign,Frobenius_cyclicity_sign_equals_epsilon_CY3,row335_cyclicity_requires_this_sign_comparison,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_Frobenius_cyclic_sign_comparison_row_supplied
trace_cyclicity_sign_comparison,trace,trace_cyclicity_sign_comparison,serre_sign_rows.csv,trace_cyclicity_sign,trace_cyclicity_sign_equals_epsilon_CY3,row336_trace_cyclicity_requires_this_sign_comparison,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_trace_cyclicity_sign_comparison_row_supplied
source_pairing_rows,hopf_pairing,source_Hopf_pairing_matrix,certificates/sources/k3e_compact_hall/G_entries.csv,G_entry,source_pairing_entering_Serre_duality,Serre_signs_compare source pairings not target blocks,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_source_pairing_rows_supplied
source_hopf_pairing_identities,hopf_pairing,source_Hopf_pairing_identities,certificates/sources/k3e_compact_hall/hopf_pairing_identities.csv,hopf_pairing_identity,source_pairing_adjointness_and_cyclicity_with_signs,sign_comparisons_need_source_identity rows,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_source_Hopf_pairing_identity_rows_supplied
radical_quotient,radical,radical_and_quotient_rows,certificates/sources/k3e_compact_hall/K_entries.csv,radical_quotient,radical_kernel_and_reduced_quotient_sign_descent,signs_are_claimed_on_the_reduced_radical_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_radical_or_quotient_rows_supplied
quotient_orientation_transport,orientation,quotient_orientation_transport,serre_sign_rows.csv,quotient_orientation_transport,quotient_nulltrivialisations_preserve_Serre_sign_line,O1_descent_must_transport_the_sign_line_to_the_reduced_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_quotient_orientation_transport_row_supplied
transition_compatibility,transition,orientation_transition_rows,certificates/orientation/transition_orientation_preservation/orientation_transition_maps.csv,orientation_transition,finite_stage_transitions_preserve_Serre_sign_line_and_comparisons,pro_object_sign_statement_requires_stage_independence,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,no_orientation_transition_rows_supplied
ptvv_not_serre_sign,shifted_symplectic,PTVV_shifted_symplectic_input,certificates/orientation/ptvv_finite_substack_symplectic/ptvv_rows.csv,ptvv_row,ambient_minus_one_shifted_symplectic_form_is_not_reduced_orientation_sign_table,PTVV_input_is_necessary_but_not_the_row337_sign_computation,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,PTVV_rows_imported_only_as_firewall
row338_nondegeneracy,orientation,row_338_reduced_CY3_pairing_nondegeneracy,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_338,prove_reduced_CY3_pairing_nondegenerate_modulo_radical,row337_does_not_prove_pairing_nondegeneracy_modulo_radical,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-cy3-serre-signs,verified,row338_kept_separate
