obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,preservation_status,proof_reference,check_status,notes
source_target_beta_coordinates,finite_stabilizer,source_and_target_beta_coordinates,finite_stabilizers.csv,beta_coordinate_row,beta_vectors_in_H2_BH_bases,row_317_needs_actual_beta_edge_coordinates_not_only_group_type,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_285_beta_values_absent
stabilizer_isomorphism,weyl_transport,source_target_stabilizer_isomorphism,weyl_lifts.csv,stabilizer_isomorphism_row,phi_i_R_S_between_H_source_and_H_target,Weyl_preservation_of_beta_requires_group_identification,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_306_stabilizer_transport_absent
h2_bh_transport_matrix,weyl_transport,induced_H2_BH_matrix,weyl_lifts.csv,h2_bh_matrix_row,M_i_R_S_on_H2_BH,coordinate_defect_cannot_be_formed_without_group_cohomology_transport_matrix,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,no_H2_BH_matrix_supplied
edge_reduction_transport,finite_stabilizer,Borel_edge_transport_defect,preservation_rows.csv,edge_transport_defect_row,transport_of_tilde_beta_edge_reduction_to_target,strict_representative_preservation_needs_edge_reduction_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,no_edge_transport_defect_row_supplied
coordinate_defect_vector,linear_algebra,H2_BH_coordinate_defect_vector,preservation_rows.csv,coordinate_defect_vector_id,M_times_source_beta_minus_target_beta,row_317_proof_starts_with_this_coordinate_defect,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,no_coordinate_defect_vector_supplied
zero_vector_certificate,linear_algebra,zero_coordinate_certificate,preservation_rows.csv,coordinate_defect_rank,rank_of_coordinate_defect_equals_zero,this_is_the_row_317_class_preservation_proof,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,no_zero_vector_certificate_supplied
all_retained_wall_coverage,coverage,retained_wall_coverage,preservation_rows.csv,coverage_row,every_retained_i_R_S_checked,O1_plus_requires_all_retained_walls_not_one_sample,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,no_coverage_rows_supplied
row285_completion,dependency,row_285_beta_complete,certificates/orientation/rhomred_finite_stabilizer_beta/manifest.json,beta_class_values_computed_true,actual_beta_H_edge_coordinates,row_317_depends_on_actual_finite_stabilizer_beta_values,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_285_manifest_has_beta_values_computed_false
row286_vanishing,dependency,row_286_beta_vanishing,certificates/orientation/rhomred_finite_stabilizer_beta_vanishing/manifest.json,all_retained_beta_vanishing_verified_true,beta_H_zero_rows,full_quotient_orientation_uses_the_zero_beta_class_before_nulltrivialization,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_286_manifest_has_vanishing_false
row287_nulltrivialization,dependency,row_287_beta_nulltrivialization,certificates/orientation/rhomred_finite_stabilizer_beta_nulltrivialization/manifest.json,beta_null_trivializations_supplied_true,h_H_primitives_and_subgroup_compatibility,strict_quotient_orientation_gauge_needs_beta_nulltrivialization_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_287_manifest_has_nulltrivializations_false
row306_tau_transport,dependency,row_306_tau_constructed,certificates/orientation/rhomred_weyl_wall_transport_tau/manifest.json,tau_transport_constructed_true,tau_i_finite_stabilizer_transport,Weyl_preservation_has_no_source_map_without_tau_i,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_306_manifest_has_tau_transport_constructed_false
row316_alpha_e_free_preservation,dependency,row_316_alpha_E_free_preservation,certificates/orientation/rhomred_weyl_alpha_e_free_preservation/manifest.json,alpha_e_free_preservation_proved_true,alpha_E_free_component_preserved,componentwise_orientation_transport_requires_prior_connected_free_E_component,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,row_316_manifest_has_preservation_false
row318_separation,scope,next_linearization_component,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt,row_318,lambda_H_zero_preservation_after_beta,row_318_does_not_prove_row_317,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-finite-stabilizer-beta-preservation-criterion,verified,next_component_kept_separate
