firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
firewall_retained_extension_closure_only,retained_extension_closure_only,true,0,certificates/moduli/retained_extension_closure/manifest.json:1,verified,word closure does not prove one-cycle or degree additivity
firewall_extension_word_closure_only,extension_word_closure_only,true,0,certificates/moduli/retained_extension_closure/extension_closure.csv:1,verified,middle HN word retained is not a pushforward equality
firewall_k0_symbol_only,K0_symbol_only,true,0,chapters/05_subsections/05_1_hybrid.tex:prop:geometric-elliptic-degree-additivity-criterion,verified,formal additivity must be connected to retained cycle and degree rows
firewall_pr3_gram,pr3_overlinePi_X,true,0,chapters/05_subsections/05_1_hybrid.tex:def:geometric-elliptic-degree-map,verified,the normal-ordered Gram coordinate is not b_R^geom
firewall_borcherds_s_degree,Borcherds_s_degree,true,0,chapters/02_k3xe_setup.tex:2639,verified,the Borcherds trace exponent is not geometric elliptic degree
firewall_ordinary_ran,ordinary_Ran_locality,true,0,chapters/05_subsections/05_1_hybrid.tex:lem:wrapped-projection-obstruction,verified,ordinary Ran locality cannot prove wrapped degree additivity
firewall_positive_support,positive_support_claim_only,true,0,chapters/05_subsections/05_1_hybrid.tex:15,verified,positive support obstruction does not populate additivity rows
firewall_empty_degree_map,empty_degree_map,true,0,certificates/hybrid/geometric_elliptic_degree_map/manifest.json:1,verified,definition-only degree map cannot certify additivity
firewall_scalar_trace,scalar_trace,true,0,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,trace-level equality is not finite-stage geometric degree additivity
firewall_transition_rows_without_pairs,transition_rows_without_extension_pairs,true,0,certificates/hybrid/k3e_hybrid_carrier/transitions.csv:1,verified,transition rows need extension-pair and degree rows
