obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,recovery_status,proof_reference,check_status,notes
retained_branch_comparison_rows,branch_comparison,retained branch comparison rows,branch_comparison_rows.csv,branch_comparison_row,"b_R_geom equals d=m+1 for each retained HN class with overlinePi image gamma_wall(delta_i)",operation-profile recovery does not populate retained geometric degree rows,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:geometric-borcherds-degree-comparison-datum,verified,no retained branch comparison rows supplied
retained_wall_object_rows,wall_object,retained wrapped wall objects,wall_objects.csv,wall_object_row,"x_delta_i_R in M_eta_i_R_wr_rig with overlinePi image gamma_wall(delta_i)",operation-profile recovery does not construct O2 retained wall objects,missing_open_obligation,chapters/06_pfaffian_dirac.tex:534,verified,no retained wall object rows supplied
effective_support_realization,support_realization,effective support-cycle realization,support_realization_rows.csv,support_row,cyc_1(A_i) effective and p_E support equals E for each retained wall object,positive projection theorem needs object support rows,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:prop:positive-elliptic-degree-projects,verified,no object support-realization rows supplied
anchor_population,anchor,populated wrapped anchor rows,anchor_rows.csv,anchor_row,lambda_eta_i_R:M_eta_i_R_wr_rig to E with zero anchor defect,operation profiles need anchors before becoming populated hybrid operations,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:e-equivariant-wrapped-prequotient-stack,verified,no anchor population rows supplied
mixed_extension_stack_rows,mixed_correspondence,populated mixed extension stacks,extension_stack_rows.csv,extension_stack_row,LW WL and LWL stacks for each wall colour and local colours,the definition rows do not populate finite mixed correspondence stacks,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:mixed-local-wrapped-correspondence-datum,verified,no mixed extension-stack rows supplied
o2_wall_atlas_rows,o2_wall_atlas,retained type-II wall-atlas rows,wall_objects.csv,atlas_row,wall objects charts overlaps orbit transport half-Hilbert orbit compatibilities and scalar separation,O2 uses operation-profile recovery but requires its own retained atlas,missing_open_obligation,chapters/06_pfaffian_dirac.tex:534,verified,no O2 atlas row supplied
e_quotient_losslessness,e_quotient,no wall lost under E-quotient rows,quotient_pseudofunctor.csv,losslessness_row,three wall profiles preserved by the reduced E-quotient,row 269 is separate and not certified here,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1322,verified,no E-quotient losslessness row supplied
quotient_descent,quotient,quotient-after-correspondence descent rows,quotient_pseudofunctor.csv,quotient_row,E-quotient pseudofunctor and theta comparison with zero defect,hybrid operation profiles are before the reduced E-quotient,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:quotient-after-correspondence-pseudofunctor,verified,no quotient-descent row supplied
protected_integration,protected_integration,protected integration rows,protected_integration.csv,integration_row,chain map product coproduct primitive transition and Gram-degree defects vanish,operation-profile recovery does not define the protected scalar trace,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no protected integration row supplied
hybrid_carrier_population,aggregate_population,aggregate hybrid-carrier population rows,certificates/hybrid/k3e_hybrid_carrier,carrier_row,hybrid base local configurations wrapped prequotients correspondences flags quotient and transitions populated,this packet is not the aggregate hybrid carrier,missing_open_obligation,certificates/hybrid/k3e_hybrid_carrier/manifest.json,verified,aggregate hybrid carrier remains blocked
transition_compatibility,transition,finite-stage transition rows,transitions.csv,transition_row,R to Rprime compatibility for wall profiles wrapped anchors mixed maps and quotient data,pro-object compatibility needs transition rows,missing_open_obligation,chapters/05_subsections/05_1_hybrid.tex:def:hybrid-wrapped-factorization-datum,verified,no transition rows supplied
