obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,alpha_red_status,proof_reference,check_status,notes
determinant_w2_value,orientation,determinant_w2_value,w2_rows.csv,w2_row,w2_det_Kred_value,row_280_needs_first_summand,missing_open_obligation,certificates/orientation/rhomred_w2/blocked_obligations.csv,verified,row_279_values_not_supplied
cokernel_rank_zero,cosection,cokernel_rank_zero,cokernel_rows.csv,cokernel_row,cokernel_rank_zero_if_using_shortcut,cokernel_zero_would_kill_second_summand,missing_open_obligation,certificates/orientation/k3_cosection_surjectivity/blocked_obligations.csv,verified,no_cokernel_rank_zero_row_supplied
cokernel_w2_value,orientation,cokernel_w2_value,cokernel_w2_rows.csv,cokernel_w2_row,w2_det_coker_CS_value,needed_if_cokernel_is_not_proved_zero,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:alpha-red-vanishing-criterion,verified,no_cokernel_characteristic_class_row_supplied
cosection_pullback,orientation,cosection_pullback,pullback_rows.csv,pullback_row,CS_pullback_of_cokernel_w2,row_280_needs_second_summand_on_reduced_moduli,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:alpha-red-vanishing-criterion,verified,no_pullback_row_supplied
alpha_red_zero_sum,quotient_borel,reduced_gerbe_zero_sum,alpha_red_rows.csv,zero_sum_row,w2_det_plus_CS_pullback_w2_coker_equals_zero,optimization_row_280,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1341,verified,no_zero_sum_row_supplied
alpha_red_quotient_borel_row,quotient_borel,reduced_gerbe_row,quotient_borel.csv,reduced_gerbe,alpha_red_equals_zero_without_null_homotopy,row_280_is_value_vanishing_before_row_281_null_homotopy,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_reduced_gerbe_row_supplied
null_homotopy,quotient_borel,reduced_gerbe_null_homotopy,null_homotopy_rows.csv,null_homotopy_row,null_trivialization_of_alpha_red,optimization_row_281_not_row_280,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1347,verified,no_null_homotopy_row_supplied
orientation_square_root,orientation,orientation_square_root,orientation_lines.csv,square_root_row,line_id_square_root_id_square_defect_rank_zero,O1_still_requires_Picard_groupoid_square_root,missing_open_obligation,certificates/orientation/rhomred_square_root/blocked_obligations.csv,verified,no_square_root_row_supplied
transition_compatibility,transition,orientation_transition_compatibility,transitions.csv,strict_orientation_transition,strict_status_strict_verified,needed_for_pro_object_coherence,missing_open_obligation,certificates/orientation/transition_orientation_preservation/blocked_obligations.csv,verified,transition_rows_not_supplied
vanishing_cycle_complex,vanishing_cycles,BBDJS_vanishing_cycle_complex,vanishing_cycle_rows.csv,vanishing_cycle_row,perverse_sheaf_of_vanishing_cycles_on_dcritical_chart,needed_for_Hall_coefficients,missing_open_obligation,certificates/moduli/k3e_finite_moduli/blocked_obligations.csv,verified,alpha_red_vanishing_does_not_construct_coefficient_system
protected_integration,integration,protected_integration_map,integration_rows.csv,integration_row,compact_support_vanishing_cycle_integration,needed_for_pfaffian_scalar,missing_open_obligation,chapters/05_subsections/05_4_dirac_pfaffian.tex,verified,protected_integration_not_supplied
