obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,tau_transport_status,proof_reference,check_status,notes
orientation_line_rows,orientation_line,source_and_target_orientation_lines,orientation_lines.csv,square_root,o_R_S_and_o_R_sdeltaS_square_to_reduced_determinants,tau_i_is_a_map_between_orientation_lines_not_a_scalar_value,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_orientation_line_rows_supplied
determinant_square_compatibility,orientation_line,determinant_square_transport,orientation_lines.csv,determinant_square_transport,tau_i_tensor_square_agrees_with_determinant_transport,Joyce_Upmeier_orientation_transport_must_preserve_square_roots,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-construction,verified,no_determinant_transport_row_supplied
retained_wall_object_rows,wall_object,retained_type_II_wall_objects,wall_objects.csv,wall_object_row,source_and_target_retained_wall_objects_for_delta_i,the_target_reflection_must_be_realized_by_a_retained_source_wall_object,missing_open_obligation,certificates/wall_atlas/k3e_o2_atlas/blocked_obligations.csv,verified,no_wall_object_rows_supplied
wall_correspondence_transport,wall_object,wall_correspondence_transport,orbit_transport.csv,wall_transport_row,correspondence_from_S_to_sdelta_i_S_with_geometric_source,the_transport_map_is_not_defined_without_a_source_wall_correspondence,missing_open_obligation,certificates/wall_atlas/k3e_o2_atlas/blocked_obligations.csv,verified,no_orbit_transport_rows_supplied
quotient_cocycle_transport,quotient_borel,quotient_orientation_cocycle_transport,weyl_lifts.csv,quotient_cocycle_transport,mathfrak_q_R_S_maps_to_sdelta_star_mathfrak_q_R_sdeltaS,O1_plus_moves_the_full_quotient_orientation_package_not_only_the_line,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_cocycle_transport_row_supplied
finite_stabilizer_transport,finite_stabilizer,finite_stabilizer_Borel_transport,weyl_lifts.csv,finite_stabilizer_transport,beta_H_and_edge_reduction_data_transport_across_the_wall,finite_stabilizer_classes_are_part_of_the_quotient_orientation_data,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_finite_stabilizer_transport_row_supplied
linearization_transport,finite_stabilizer,zero_linearization_transport,weyl_lifts.csv,linearization_transport,lambda_H_zero_transport_with_defect_rank_zero,the_H1_linearization_character_is_independent_orientation_data,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_linearization_transport_row_supplied
weyl_lift_matrix,weyl_transport,Picard_groupoid_lift_matrix,weyl_lifts.csv,lift_matrix_id,explicit_tau_i_line_isomorphism_between_Weyl_related_strata,row_306_is_the_existence_of_this_lift_matrix,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/weyl_lifts.csv,verified,no_weyl_lift_rows_supplied
torsor_defect_zero,weyl_transport,Weyl_torsor_defect_zero,weyl_lifts.csv,torsor_defect,torsor_defect_rank_zero,the_lift_must_transport_the_orientation_torsor_not_only_the_underlying_line,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_torsor_defect_row_supplied
quotient_transport_defect_zero,weyl_transport,quotient_transport_defect_zero,weyl_lifts.csv,quotient_cocycle_transport_defect,quotient_cocycle_transport_defect_rank_zero,the_quotient_orientation_cocycle_must_be_preserved_across_the_wall,missing_open_obligation,certificates/orientation/k3e_reduced_orientation/blocked_obligations.csv,verified,no_quotient_transport_defect_row_supplied
tau_square_row,weyl_transport,involutivity_row_for_tau_i,weyl_lifts.csv,tau_square,tau_i_squared_equals_one,row_307_not_row_306,missing_open_obligation,materials/processed/2026-06-05-k3xe-research-paper-optimization.txt:1437,verified,involutivity_left_to_next_row
no_scalar_tau_substitution,firewall,scalar_or_target_firewall,scalar_firewall.csv,scalar_tau_substitution_excluded,excludes_Maass_character_scalar_trace_target_reflection_and_profile_survival_as_tau_i,prevents_target_or_scalar_rows_from_being_read_as_orientation_transport,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:weyl-wall-transport-tau-construction,verified,firewall_rows_supplied_but_tau_rows_absent
