firewall_id,forbidden_substitute,excluded,defect_rank,source_reference,check_status,notes
fw_noetherian,retained_window_noetherianity,true,0,AP/Liu compatibility packet,verified,heart compatibility is not retained-window noetherianity
fw_hn,retained_hn_filtrations,true,0,AP/Liu compatibility packet,verified,heart compatibility is not HN filtration existence
fw_hn_bounds,bounded_hn_types,true,0,AP/Liu compatibility packet,verified,heart compatibility is not bounded HN type data
fw_semistable,finite_type_semistable_substacks,true,0,AP/Liu compatibility packet,verified,heart compatibility is not finite-type semistable moduli
fw_derived,quasi_smooth_moduli,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a derived enhancement
fw_universal,universal_complexes,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a universal complex
fw_rigidifications,rigidifications,true,0,AP/Liu compatibility packet,verified,heart compatibility is not rigidification data
fw_inertia,inertia,true,0,AP/Liu compatibility packet,verified,heart compatibility is not inertia data
fw_flags,extension_flags,true,0,AP/Liu compatibility packet,verified,heart compatibility is not extension-flag data
fw_cosection,cosection_atlas,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a cosection atlas
fw_transitions,transitions,true,0,AP/Liu compatibility packet,verified,heart compatibility is not transition data
fw_hall,compact_hall_stage,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a compact Hall stage
fw_pfaffian,pfaffian_orientation,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a Pfaffian orientation
fw_trace,protected_trace,true,0,AP/Liu compatibility packet,verified,heart compatibility is not a protected trace
