obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,compatibility_status,proof_reference,check_status,notes
source_hall_product,hall_bialgebra,Hall_product_matrix,M_entries.csv,product_matrix,finite_source_product_constants_in_homogeneous_bases,Frobenius_adjointness_requires_source_product_data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_M_entries_supplied
source_hall_coproduct,hall_bialgebra,Hall_coproduct_matrix,D_entries.csv,coproduct_matrix,finite_source_coproduct_constants_in_homogeneous_bases,Hopf_adjointness_requires_source_coproduct_data,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_D_entries_supplied
source_bialgebra_identities,hall_bialgebra,Hall_bialgebra_identity_rows,hall_bialgebra_identities.csv,bialgebra_identities,associativity_coassociativity_unit_counit_bialgebra_and_primitive_closure_zero_defects,Frobenius_pairing_is_not_defined_on_a_nonbialgebra_source,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Hall_bialgebra_identity_rows_supplied
source_hopf_pairing_matrix,hopf_pairing,source_Hopf_pairing_matrix,G_entries.csv,G_entry,finite_positive_negative_pairing_constants,orientation_pairing_must_be_a_source_Hopf_pairing,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_G_entries_supplied
hopf_adjointness_identity,hopf_pairing,Hopf_adjointness_identity,hopf_pairing_identities.csv,hopf_adjointness,zero_defect_pairing_product_coproduct_adjointness,Frobenius_pairing_requires_Hopf_adjointness_not_only_bilinear_entries,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Hopf_adjointness_row_supplied
frobenius_cyclic_identity,hopf_pairing,Frobenius_cyclic_identity,hopf_pairing_identities.csv,frobenius_cyclic,zero_defect_primitive_Frobenius_cyclic_identity,Pairing_must_be_cyclic_for_the_primitive_Lie_superbracket,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Frobenius_cyclic_row_supplied
quotient_nondegeneracy_identity,hopf_pairing,quotient_nondegeneracy_identity,hopf_pairing_identities.csv,quotient_nondegenerate,zero_defect_nondegeneracy_after_radical_quotient,Frobenius_pairing_is_on_the_reduced_radical_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_quotient_nondegeneracy_row_supplied
radical_kernel_rows,radical,radical_kernel_matrix,K_entries.csv,kernel_matrix,finite_radical_kernel_basis_in_source_degree,quotient_pairing_needs_the_recorded_radical,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_K_entries_supplied
quotient_splitting_rows,radical,quotient_splitting_matrix,Q_entries.csv,quotient_splitting,finite_splitting_of_radical_quotient,nondegenerate_pairing_is_checked_on_quotient_basis,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_Q_entries_supplied
radical_ideal_coideal,radical,radical_ideal_coideal_rows,radical_ideal_coideal.csv,lie_ideal_and_coproduct_coideal,radical_stability_for_bracket_and_coproduct,Frobenius_pairing_must_descend_to_a_Hall_quotient,missing_open_obligation,chapters/05_subsections/05_2_orientation.tex:prop:orientation-frobenius-pairing,verified,no_radical_ideal_coideal_rows_supplied
