obligation_id,lane,required_artifact,required_table,required_row_type,mathematical_payload,why_required,lim1_status,proof_reference,check_status,notes
cofinal_root_window_sequence,indexing,cofinal relation-closed root-window sequence,pbw_graded_coverage.csv,cofinal_window,cofinal increasing downward-saturated relation-closed windows with successor witnesses,lim1 is computed on a specified inverse system not on informal window growth,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no cofinal root-window sequence row supplied
radical_quotient_input,radical_quotient,primitive radical quotient tower,pbw_graded_pieces.csv,radical_quotient_input,source and target radical quotient bases with quotient transition maps,PBW filtration is formed on the radical quotient before enveloping,missing_open_obligation,certificates/hall/transition_radical_preservation/README.md:1,verified,no radical quotient input row supplied
pbw_transition_input,transition,PBW transition preservation input,pbw_graded_transition_maps.csv,pbw_transition_input,filtered PBW transition and associated-graded transition data,the PBW associated-graded tower needs maps before lim1 can be tested,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/README.md:1,verified,no PBW transition input row supplied
pbw_filtration_rows,pbw_filtration,PBW filtration rows,pbw_graded_pieces.csv,pbw_filtration,finite filtered pieces F_le_d and lower pieces F_le_dminus1,the associated graded quotient is not defined before the filtered pieces are supplied,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:2,verified,no PBW filtration rows supplied
ordered_word_basis_rows,word_basis,ordered PBW word bases,pbw_graded_pieces.csv,ordered_word_basis,ordered monomial bases and normal forms for each PBW degree,finite basis rows are needed to compute graded image equality,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:5,verified,no ordered word basis rows supplied
relation_rewrite_rows,relations,PBW relation rewrite rows,pbw_graded_pieces.csv,relation_rewrite,source and target relation rewrite systems with zero confluence defects,the associated graded quotient must be computed in normal forms,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:7,verified,no relation rewrite rows supplied
associated_graded_piece_rows,associated_graded,PBW associated-graded piece rows,pbw_graded_pieces.csv,associated_graded_piece,graded quotient id basis rank side PBW degree Gram degree and parity,the tower cannot be formed before the associated-graded pieces are named,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no associated-graded piece rows supplied
graded_basis_rows,associated_graded,PBW associated-graded basis rows,pbw_graded_pieces.csv,graded_basis,explicit finite basis for every associated-graded piece,finite image equality must be checked in associated-graded coordinates,missing_open_obligation,chapters/05_subsections/05_6_primitive_recognition.tex:pbw-graded-ml,verified,no graded basis rows supplied
associated_graded_rank_rows,associated_graded,PBW associated-graded rank rows,pbw_graded_pieces.csv,associated_graded_rank,source target and comparison ranks on every retained PBW grade,rank rows are input to recognition but not ML exactness,missing_open_obligation,certificates/sources/k3e_compact_hall/blocked_obligations.csv:34,verified,no associated-graded rank rows supplied
associated_graded_transition_maps,transition,PBW associated-graded transition maps,pbw_graded_transition_maps.csv,associated_graded_transition,linear maps on gr_PBW for every retained grade,ML is a property of maps between associated-graded pieces,missing_open_obligation,certificates/hall/transition_pbw_filtration_preservation/blocked_obligations.csv:14,verified,no associated-graded transition maps supplied
